Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
2017S009978    ,Eixample,la Dreta de l'Eixample,Aragó                                             ,Thursday,November,30,11,Morning,2,0,2,2,2.162817,41.39081
2017S009971    ,Eixample,la Dreta de l'Eixample,Rosselló / Diagonal                               ,Wednesday,November,29,20,Afternoon,0,0,0,2,2.163111,41.397455
2017S009973    ,Eixample,la Dreta de l'Eixample,Tetuan                                            ,Thursday,November,30,8,Morning,1,0,1,2,2.175917,41.39419
2017S009409    ,Eixample,l'Antiga Esquerra de l'Eixample,Aragó / Villarroel                                ,Monday,November,13,16,Afternoon,1,0,1,1,2.156205,41.385633
2017S009425    ,Eixample,la Dreta de l'Eixample,Corts Catalanes / Gràcia                          ,Tuesday,November,14,0,Night,2,0,2,2,2.168274,41.389418
2017S009977    ,Eixample,la Dreta de l'Eixample,Nàpols / Consell de Cent                          ,Thursday,November,30,10,Morning,1,0,1,2,2.175427,41.398385
2017S009948    ,Eixample,l'Antiga Esquerra de l'Eixample,Aragó / Villarroel                                ,Wednesday,November,29,13,Morning,1,0,1,2,2.156205,41.385633
2017S009953    ,Eixample,la Dreta de l'Eixample,Nàpols / Provença                                 ,Wednesday,November,29,15,Afternoon,1,0,1,1,2.170933,41.401797
2017S009188    ,Eixample,l'Antiga Esquerra de l'Eixample,Muntaner / Rosselló                               ,Tuesday,November,7,10,Morning,1,0,1,1,2.153949,41.390746
2017S009963    ,Eixample,la Dreta de l'Eixample,Rosselló / Bailèn                                 ,Wednesday,November,29,19,Afternoon,1,0,1,2,2.166375,41.400128
2017S009909    ,Eixample,la Dreta de l'Eixample,Sant Joan / Alí Bei                               ,Tuesday,November,28,9,Morning,1,0,1,2,2.17906,41.392237
2017S010017    ,Eixample,Sant Antoni,Rocafort / Sepúlveda                              ,Thursday,November,30,21,Afternoon,1,0,1,2,2.155303,41.377779
2017S010019    ,Eixample,la Dreta de l'Eixample,Diagonal / Gràcia                                 ,Thursday,November,30,23,Night,1,1,2,1,2.159495,41.396524
2017S009969    ,Eixample,l'Antiga Esquerra de l'Eixample,València / Casanova                               ,Wednesday,November,29,21,Afternoon,1,0,1,2,2.156205,41.387333
2017S009485    ,Eixample,la Dreta de l'Eixample,València                                          ,Wednesday,November,15,20,Afternoon,1,0,1,3,2.170632,41.398062
2017S009147    ,Eixample,la Dreta de l'Eixample,Casp / Bruc                                       ,Sunday,November,5,11,Morning,1,0,1,1,2.173411,41.391395
2017S009411    ,Eixample,el Fort Pienc,Corts Catalanes                                   ,Monday,November,13,14,Afternoon,2,0,2,2,2.182474,41.40042
2017S009994    ,Eixample,la Sagrada Família,Còrsega / Marina                                  ,Thursday,November,30,16,Afternoon,1,0,1,1,2.172194,41.406221
